Origin Time (GMT),Status,cntP,Mag,TypeMag,cntM,AZgap,RMS,Lat,Lon,Depth,Remarks
 2022-02-11 16:43:12 , manual , 92  , 5.3 , mb      , 66  , 77  , 1.2 , 24.02 N , 122.33 E , 13 km  , Taiwan Region                     
 2022-02-11 16:19:40 , manual , 7   , 2.7 , MLv     , 4   , 154 , 1.0 , 3.31 S  , 128.92 E , 10 km  ," Seram, Indonesia                  "
 2022-02-11 16:17:19 , manual , 18  , 4.0 , MLv     , 6   , 75  , 1.1 , 3.33 S  , 139.39 E , 76 km  ," Irian Jaya, Indonesia             "
 2022-02-11 14:51:25 , manual , 20  , 2.8 , MLv     , 6   , 83  , 0.5 , 1.82 N  , 126.42 E , 11 km  , Northern Molucca Sea              
 2022-02-11 14:25:17 , manual , 156 , 5.1 , Mw      , 10  , 64  , 1.3 , 5.95 N  , 124.49 E , 41 km  ," Mindanao, Philippines             "
 2022-02-11 14:00:23 , manual , 15  , 4.3 , mb      , 7   , 142 , 1.1 , 3.53 S  , 144.19 E , 24 km  ," Near N. Coast of New Guinea, PNG. "
 2022-02-11 13:42:48 , manual , 19  , 4.6 , mb      , 12  , 274 , 1.0 , 4.15 S  , 143.45 E , 106 km ," New Guinea, Papua New Guinea      "
 2022-02-11 13:15:22 , manual , 131 , 5.2 , Mw      , 64  , 46  , 1.3 , 3.58 S  , 144.13 E , 34 km  ," Near N. Coast of New Guinea, PNG. "
 2022-02-11 12:51:29 , manual , 26  , 4.7 , mb      , 13  , 93  , 1.4 , 24.03 N , 122.33 E , 10 km  , Taiwan Region                     
 2022-02-11 12:15:40 , manual , 15  , 3.5 , MLv     , 7   , 85  , 0.6 , 2.83 S  , 129.46 E , 16 km  ," Seram, Indonesia                  "
 2022-02-11 12:12:35 , manual , 47  , 3.7 , MLv     , 19  , 207 , 0.4 , 8.37 S  , 108.99 E , 71 km  ," Java, Indonesia                   "
 2022-02-11 11:46:26 , manual , 26  , 5.1 , mb      , 18  , 71  , 1.3 , 49.66 N , 155.21 E , 93 km  , Kuril Islands                     
